source,target,weight
1c22GXH30ijlOfXhfLz9Df,4SsVbpTthjScTS7U2hmr1X,1
4SsVbpTthjScTS7U2hmr1X,5GcWBUX00IPuWVGMIRK1sS,1
1mcTU81TzQhprhouKaTkpq,4SsVbpTthjScTS7U2hmr1X,2
0tmwSHipWxN12fsoLcFU3B,1SupJlEpv7RS2tPNRaHViT,1
4SsVbpTthjScTS7U2hmr1X,5sZKwZcGSzyVnO1P62PdCq,1
4SsVbpTthjScTS7U2hmr1X,6K33IlAAM2crUmPtnc4j6H,1
2p4aN0Uxkk3iT3HK0cJ2cJ,4SsVbpTthjScTS7U2hmr1X,1
4SsVbpTthjScTS7U2hmr1X,4Tw0VaV1ENei24iQnktjXj,2
2qbEtwBVyobgpNP5KcHE9J,4Tw0VaV1ENei24iQnktjXj,1
329e4yvIujISKGKz1BZZbO,64aJYyrXljOodnUG6jvhRD,1
4SsVbpTthjScTS7U2hmr1X,4q3ewBCX7sLwd24euuV69X,3
02uL9GicfGlL4E427NFGDm,4SsVbpTthjScTS7U2hmr1X,1
4SsVbpTthjScTS7U2hmr1X,7j6DKwmjbxvpQO8h914uEz,1
3qcl8ck0RTpenPbFmZa2p5,4SsVbpTthjScTS7U2hmr1X,1
2p4aN0Uxkk3iT3HK0cJ2cJ,3NpG6SsHaQETkdQVZH6V1E,1
4SsVbpTthjScTS7U2hmr1X,7a0XAaPaK2aDSqa8p3QnC7,1
4SsVbpTthjScTS7U2hmr1X,7iK8PXO48WeuP03g8YR51W,6
2p4aN0Uxkk3iT3HK0cJ2cJ,7cYik4OyfBXYV5Z2TI7p90,1
2oQX8QiMXOyuqbcZEFsZfm,4SsVbpTthjScTS7U2hmr1X,1
4SsVbpTthjScTS7U2hmr1X,5H1nN1SzW0qNeUEZvuXjAj,1
3E6xrwgnVfYCrCs0ePERDz,4SsVbpTthjScTS7U2hmr1X,3
08yYd8o1CrOjIpGHP2I6zU,3hfWiirwdO1ijoZQwj7uzZ,1
14zUHaJZo1mnYtn6IBRaRP,3EiLUeyEcA6fbRPSHkG5kb,4
0eHQ9o50hj6ZDNBt6Ys1sD,3EiLUeyEcA6fbRPSHkG5kb,2
1pgDilWYDWLoOgGjf1iHNu,4SsVbpTthjScTS7U2hmr1X,2
0FwnPHExlRRxEZPLAi5tmG,4SsVbpTthjScTS7U2hmr1X,1
4SsVbpTthjScTS7U2hmr1X,4aSlfXDn9R60UlbZEboBUy,3
